genero,edad,peso,altura,id_ejercicio,valoracion,bmi,categoria_edad,categoria_bmi,Title,Desc,Type,BodyPart,Equipment,Level,Rating,RatingDesc,tags_combinados,popularidad
male,29,91.9,178.2,13,7.9,28.940105632960112,joven,sobrepeso,Seated bar twist,"The seated bar twist is a core exercise meant to strengthen the obliques. It is often performed for high reps with relatively light weight, such as an empty barbell, a lightweight fixed-weight bar, or even a PVC pipe. It can be performed during a workout, at the end of a workout, or outside of the gym to build core strength and resiliency.",Strength,Abdominals,Barbell,Intermediate,4.7,Average,Strength Abdominals Intermediate,5.475862726423568
female,50,64.8,164.2,14,7.9,24.034146290804273,mayor,normal,Single-arm landmine pull and press,"The single-arm landmine pull and press is an explosive rotational movement using a barbell anchored in a landmine device. It combines a pull off the floor with rotation and finishes with a press. It is usually performed for low reps per set with an emphasis on speed and form, not moving heavy weight.",Strength,Abdominals,Barbell,Intermediate,1.0,1,Strength Abdominals Intermediate,5.475862726423568
male,35,78.1,172.4,15,8.5,26.27704415889234,adulto,sobrepeso,Barbell Ab Roll Out - Gethin Variation,"The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. It is best performed with a barbell that has rotating collars, and is considered more difficult than other ab roller variations. Many lifters may not be able to perform a single rep at first, but once they can perform these for reps, they'll be rewarded with a seriously strong core.",Strength,Abdominals,Barbell,Intermediate,1.0,1,Strength Abdominals Intermediate,5.891751034759535
female,29,83.7,172.6,16,7.0,28.095959955368713,joven,sobrepeso,30 Barbell Floor Wiper,"The barbell floor wiper is a core exercise in which the barbell is held in the locked-out position of a floor press, and the hips and legs are rotated side to side. It targets the oblique muscles of the lateral abdomen, but is also seriously challenging to the deep core and rectus abdominis or ""six-pack"" muscles.",Strength,Abdominals,Barbell,Intermediate,1.0,1,Strength Abdominals Intermediate,4.852030263919617
female,29,61.0,159.8,17,7.7,23.887807193284466,joven,normal,30 Barbell Roll-Out,"The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. It is best performed with a barbell that has rotating collars, and is considered more difficult than other ab roller variations. Many lifters may not be able to perform a single rep at first, but once they can perform these for reps, they'll be rewarded with a seriously strong core.",Strength,Abdominals,Barbell,Intermediate,1.0,1,Strength Abdominals Intermediate,5.337233290311579
male,16,74.5,166.0,18,7.2,27.035854260415157,adolescente,sobrepeso,Decline plate sit-up,"The decline plate sit-up is a weighted core exercise that works the rectus abdominis or ""six pack"" muscles, as well as the deep core muscles. Weighted sit-up variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout.",Strength,Abdominals,Barbell,Intermediate,1.0,1,Strength Abdominals Intermediate,4.990659700031606
male,18,109.8,179.4,19,7.9,34.115949486023645,joven,obesidad,KV Barbell Hip Thrust,1,Strength,Abdominals,Barbell,Intermediate,1.0,1,Strength Abdominals Intermediate,5.475862726423568
male,27,80.3,181.1,20,8.2,24.483789932131423,joven,normal,Advanced Kettlebell Windmill,1,Strength,Abdominals,Kettlebells,Beginner,8.3,Average,Strength Abdominals Beginner,5.6838068805915505
male,42,74.6,179.5,21,8.0,23.153141269853585,adulto,normal,Kettlebell Windmill,"The single-kettlebell windmill is a dynamic kettlebell exercise emphasizing core strength and shoulder and hip mobility and stability. It is often used as a functional warm-up or for multi-directional strength work. It doesn't work as well in a metcon or conditioning setting, and shouldn't be performed under intense fatigue.",Strength,Abdominals,Kettlebells,Intermediate,7.7,Average,Strength Abdominals Intermediate,5.545177444479562
female,33,57.4,154.0,22,7.9,24.203069657615114,adulto,normal,Kettlebell Pass Between The Legs,1,Strength,Abdominals,Kettlebells,Beginner,7.3,Average,Strength Abdominals Beginner,5.475862726423568
female,32,71.4,161.4,23,6.6,27.408871261222664,adulto,sobrepeso,Kettlebell 3-point leg extension,"The kettlebell 3-point leg extension is a dynamic core exercise performed around and over a kettlebell or other short, stationary object. It is similar in some ways to a V-up or reverse crunch, but targets both the obliques and the rectus abdominis or ""six-pack"" muscles. It can be performed for reps or for time, usually in dedicated ab training or as part of a kettlebell and bodyweight circuit workout.",Strength,Abdominals,Kettlebells,Intermediate,0.0,1,Strength Abdominals Intermediate,4.574771391695639
female,40,56.7,162.6,24,7.8,21.445786413583697,adulto,normal,Double Kettlebell Swing,1,Strength,Abdominals,Kettlebells,Intermediate,1.0,1,Strength Abdominals Intermediate,5.406548008367573
female,35,68.0,170.5,25,7.8,23.39161169924579,adulto,normal,Burpee over kettlebell,"The burpee over kettlebell is a more advanced version of a popular conditioning exercise. If you're performing a circuit that already has both burpees and kettlebell movements, it's a simple way to provide a novel stimulus to the muscles of the lower body and create a more athletic style of training.",Strength,Abdominals,Kettlebells,Intermediate,1.0,1,Strength Abdominals Intermediate,5.406548008367573
male,33,94.2,189.1,26,7.3,26.343158511147326,adulto,sobrepeso,Kettlebell toe-touch,"The kettlebell toe-touch is a more difficult version of a highly popular abdominal movement usually done for high reps. The simple addition of a weight makes the toe-touch far more difficult, providing a different stimulus to the core during training.",Strength,Abdominals,Kettlebells,Intermediate,1.0,1,Strength Abdominals Intermediate,5.0599744180876005
male,17,90.0,177.8,27,10.0,28.469444693991427,adolescente,sobrepeso,Kettlebell swing,"The kettlebell swing is a popular lower-body exercise emphasizing the hamstrings, glutes, and back muscles. It is often used to train explosive power, for aerobic or cardiovascular conditioning, in circuit training, or as an accessory movement for the deadlift.",Strength,Abdominals,Kettlebells,Intermediate,1.0,1,Strength Abdominals Intermediate,6.931471805599453
female,17,65.3,154.8,28,7.8,27.25029879347528,adolescente,sobrepeso,Two-way swing,"The two-way kettlebell swing is an exercise that alternates a chest-height kettlebell swing (sometimes called a ""Russian"" or ""hardstyle"" swing) with an overhead kettlebell swing (sometimes called an ""American"" swing). Both swing variations work many of the same muscles, such as the hamstrings, glutes, and core, but because the weight must travel farther in the overhead swing, it's slightly more metabolically demanding and works the upper back and shoulders more. This combo can be performed for time or reps and works especially well in circuit-style or full-body training. If you can't perform the overhead swing without lower back or shoulder pain, just perform the chest-height swing.",Strength,Abdominals,Kettlebells,Intermediate,1.0,1,Strength Abdominals Intermediate,5.406548008367573
female,50,67.5,165.9,29,8.9,24.525112079762206,mayor,normal,Kettlebell crab reach,"The kettlebell crab reach is a kettlebell pressing exercise in which the lifter presses a kettlebell overhead while in a modified single-arm bridge position. The simple addition of a weight makes the reach far more difficult, challenging the muscles of the back, shoulders, glutes, and core.",Strength,Abdominals,Kettlebells,Intermediate,1.0,1,Strength Abdominals Intermediate,6.169009906983513
male,25,91.1,176.5,30,6.1,29.243473585375053,joven,sobrepeso,Taylor Single-Arm Kettlebell Swing,1,Strength,Abdominals,Kettlebells,Intermediate,1.0,1,Strength Abdominals Intermediate,4.228197801415666
female,45,65.9,169.3,31,7.4,22.991721933439837,adulto,normal,Holman Kettlebell Up to Elbow Down,1,Strength,Abdominals,Kettlebells,Intermediate,1.0,1,Strength Abdominals Intermediate,5.129289136143595
female,22,72.6,158.4,32,7.6,28.93518518518518,joven,sobrepeso,FYR2 Double-Kettlebell Ski,1,Strength,Abdominals,Kettlebells,Intermediate,1.0,1,Strength Abdominals Intermediate,5.267918572255584
female,26,62.1,156.0,33,7.0,25.517751479289938,joven,sobrepeso,FYR2 Kettlebell Hike,1,Strength,Abdominals,Kettlebells,Intermediate,1.0,1,Strength Abdominals Intermediate,4.852030263919617
male,29,90.5,167.9,34,8.9,32.10311591778906,joven,obesidad,FYR2 Kettlebell Cross-Body Catch,1,Strength,Abdominals,Kettlebells,Intermediate,1.0,1,Strength Abdominals Intermediate,6.169009906983513
male,19,99.9,173.6,35,7.8,33.148665293380624,joven,obesidad,FYR2 Kettlebell Duck Walk,1,Strength,Abdominals,Kettlebells,Intermediate,1.0,1,Strength Abdominals Intermediate,5.406548008367573
male,16,76.5,176.4,36,6.4,24.584663797491785,adolescente,normal,FYR2 Kettlebell Get-Up Reach,1,Strength,Abdominals,Kettlebells,Intermediate,1.0,1,Strength Abdominals Intermediate,4.43614195558365
male,25,82.2,172.5,37,8.7,27.624448645242595,joven,sobrepeso,FYR2 Kettlebell Juggle,1,Strength,Abdominals,Kettlebells,Intermediate,1.0,1,Strength Abdominals Intermediate,6.030380470871523
male,19,68.9,167.9,38,9.1,24.440935765034986,joven,normal,FYR2 Squat-Clean-Alternating-Press Complex,1,Strength,Abdominals,Kettlebells,Intermediate,1.0,1,Strength Abdominals Intermediate,6.307639343095502
male,27,64.7,163.0,39,7.3,24.351688057510636,joven,normal,Dumbbell V-Sit Cross Jab,"The dumbbell V-sit cross jab is a hybrid movement that trains the abdominal and shoulder muscles simultaneously. It can address multiple muscle groups in a time-efficient muscle-building or circuit-style workout, while also providing a cardiovascular challenge.",Strength,Abdominals,Dumbbell,Intermediate,9.3,Average,Strength Abdominals Intermediate,5.0599744180876005
female,34,58.4,155.2,40,8.1,24.245403337230318,adulto,normal,Dumbbell spell caster,"The dumbbell spell caster is an exercise that primarily targets the abdominal muscles such as the obliques. However, it also works shoulders, back, hips, and legs, and demands all of those muscles work together in a coordinated motion. It is usually performed with relatively light weights for moderate to high reps, at least 8-12 reps per side. Make sure to only use a weight you can control.",Strength,Abdominals,Dumbbell,Beginner,9.3,Average,Strength Abdominals Beginner,5.614492162535557
male,40,68.2,162.5,41,8.7,25.827218934911244,adulto,sobrepeso,Dumbbell side bend,"The dumbbell side bend is a popular exercise for targeting the oblique muscles of the abdomen. It is usually performed for relatively high reps, at least 8-12 reps per set or more. It can be performed one side at a time or alternating sides.",Strength,Abdominals,Dumbbell,Intermediate,8.6,Average,Strength Abdominals Intermediate,6.030380470871523
male,32,84.0,182.0,42,7.8,25.359256128486894,adulto,sobrepeso,Dumbbell crunch,"The dumbbell crunch is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the crunch far more difficult, providing a different stimulus to the core during training.",Strength,Abdominals,Dumbbell,Intermediate,1.0,1,Strength Abdominals Intermediate,5.406548008367573
female,39,63.7,164.7,43,5.6,23.482927321998865,adulto,normal,Dumbbell Fix Dumbbell Sprawl,1,Strength,Abdominals,Dumbbell,Intermediate,1.0,1,Strength Abdominals Intermediate,3.8816242111356933
male,33,86.0,171.5,44,8.1,29.239517547960457,adulto,sobrepeso,Dumbbell Fix Alternating Renegade Row,1,Strength,Abdominals,Dumbbell,Intermediate,1.0,1,Strength Abdominals Intermediate,5.614492162535557
male,32,75.2,167.7,45,6.4,26.739403533512625,adulto,sobrepeso,Dumbbell Fix Dumbbell Mountain Climber,1,Strength,Abdominals,Dumbbell,Intermediate,1.0,1,Strength Abdominals Intermediate,4.43614195558365
male,16,88.6,173.0,46,6.9,29.60339470079187,adolescente,sobrepeso,Dumbbell Fix Dumbbell Russian Twist,1,Strength,Abdominals,Dumbbell,Intermediate,1.0,1,Strength Abdominals Intermediate,4.782715545863622
male,16,87.6,178.2,47,8.7,27.58599840530256,adolescente,sobrepeso,Dumbbell Fix Dumbbell Pull-Over,1,Strength,Abdominals,Dumbbell,Intermediate,1.0,1,Strength Abdominals Intermediate,6.030380470871523
male,36,77.7,169.5,48,9.5,27.044665465841753,adulto,sobrepeso,Dumbbell Fix Dumbbell Sit-Up,1,Strength,Abdominals,Dumbbell,Intermediate,1.0,1,Strength Abdominals Intermediate,6.58489821531948
male,43,81.4,169.4,49,9.6,28.365966972814675,adulto,sobrepeso,Dumbbell Fix Dumbbell Front Squat,1,Strength,Abdominals,Dumbbell,Intermediate,1.0,1,Strength Abdominals Intermediate,6.654212933375475
male,31,99.9,180.9,50,6.3,30.527297179112725,adulto,obesidad,Dumbbell Fix Full Man Maker,1,Strength,Abdominals,Dumbbell,Intermediate,1.0,1,Strength Abdominals Intermediate,4.366827237527655
male,21,94.0,178.8,51,8.6,29.403079941343982,joven,sobrepeso,Dumbbell T-hold,"The dumbbell T-hold is a static exercise that primarily targets the obliques, although it also works the shoulders and upper back. It involves holding a dumbbell in the air while in a side plank position. It is usually performed for timed holds, although it can be performed dynamically for reps as a plank with dumbbell rotation.",Strength,Abdominals,Dumbbell,Intermediate,1.0,1,Strength Abdominals Intermediate,5.9610657528155295
female,19,53.4,164.7,52,9.3,19.685844882178014,joven,normal,Dumbbell hollow-body floor press,The dumbbell hollow-body floor press combines upper-body strength and core work in one move.,Strength,Abdominals,Dumbbell,Intermediate,1.0,1,Strength Abdominals Intermediate,6.446268779207491
female,24,60.4,164.8,53,8.2,22.239372231124513,joven,normal,Dumbbell crusher,"The dumbbell crusher is a dumbbell complex that combines a squat with a dumbbell curl, followed by a triceps press. It targets the legs, glutes, biceps, shoulders, and triceps in a single sequence, making it a great way to burn serious calories and hit a lot of muscles in a short period of time. The upper-body movements will determine the amount of weight you can effectively use.",Strength,Abdominals,Dumbbell,Intermediate,1.0,1,Strength Abdominals Intermediate,5.6838068805915505
male,19,80.5,176.1,54,8.1,25.958355059347898,joven,sobrepeso,Dumbbell Crunch - Gethin Variation,"The dumbbell crunch is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the crunch far more difficult, providing a different stimulus to the core during training.",Strength,Abdominals,Dumbbell,Intermediate,1.0,1,Strength Abdominals Intermediate,5.614492162535557
male,22,90.7,169.9,55,7.9,31.42103809982744,joven,obesidad,Single-arm dumbbell crunch,"The single-arm dumbbell crunch is a more difficult version of a highly popular abdominal movement. Adding a weight to one side makes the crunch far more difficult to your rectus abdominis or ""six-pack"" muscles, as well as the obliques and deep core muscles.",Strength,Abdominals,Dumbbell,Intermediate,1.0,1,Strength Abdominals Intermediate,5.475862726423568
male,33,85.6,178.4,56,7.5,26.895775101047676,adulto,sobrepeso,HM Alternating Dumbbell Plank Row,1,Strength,Abdominals,Dumbbell,Intermediate,1.0,1,Strength Abdominals Intermediate,5.19860385419959
female,25,65.8,165.6,57,8.5,23.9941422203552,joven,normal,Dumbbell straight-legged hip raise,The dumbbell straight-legged hip raise works the hips and glutes. It requires and teaches body control and coordination.,Strength,Abdominals,Dumbbell,Intermediate,1.0,1,Strength Abdominals Intermediate,5.891751034759535
female,24,70.3,166.6,58,7.4,25.32825855432209,joven,sobrepeso,Seated leg tuck with dumbbell,The seated leg tuck with dumbbell is an ab exercise requiring only a bench and a dumbbell. It's commonly performed for high reps as a burnout at the end of a core workout.,Strength,Abdominals,Dumbbell,Intermediate,1.0,1,Strength Abdominals Intermediate,5.129289136143595
female,34,53.2,158.3,59,7.6,21.229990634062396,adulto,normal,Dumbbell V-sit cross jab-,"The dumbbell V-sit cross jab is a hybrid movement that trains the abdominal and shoulder muscles simultaneously. It can address multiple muscle groups in a time-efficient muscle-building or circuit-style workout, while also providing a cardiovascular challenge.",Strength,Abdominals,Dumbbell,Intermediate,1.0,1,Strength Abdominals Intermediate,5.267918572255584
female,33,57.1,164.3,60,7.4,21.15246481782023,adulto,normal,30 Hanging Leg Raise With Dumbbell,1,Strength,Abdominals,Dumbbell,Intermediate,1.0,1,Strength Abdominals Intermediate,5.129289136143595
female,33,69.5,159.0,61,6.7,27.49100114710652,adulto,sobrepeso,Dumbbell Get-Up Sit-Up,1,Strength,Abdominals,Dumbbell,Expert,1.0,1,Strength Abdominals Expert,4.644086109751633
male,31,78.3,170.4,62,8.0,26.96637571910335,adulto,sobrepeso,Holman Right Side Plank with Left Triceps Press,1,Strength,Abdominals,Dumbbell,Intermediate,1.0,1,Strength Abdominals Intermediate,5.545177444479562
male,45,75.2,171.9,63,9.1,25.448728426534224,adulto,sobrepeso,Holman Left Side Plank with Right Triceps Press,1,Strength,Abdominals,Dumbbell,Intermediate,1.0,1,Strength Abdominals Intermediate,6.307639343095502
male,23,96.0,188.6,64,8.1,26.989066054614625,joven,sobrepeso,Holman Boat with Feet Push-Out and Overhead Press,1,Strength,Abdominals,Dumbbell,Intermediate,1.0,1,Strength Abdominals Intermediate,5.614492162535557
male,29,83.1,177.1,65,8.1,26.49499863061349,joven,sobrepeso,Holman Hovering Plank Row,1,Strength,Abdominals,Dumbbell,Intermediate,1.0,1,Strength Abdominals Intermediate,5.614492162535557
female,30,61.8,164.3,66,7.3,22.89356087112592,adulto,normal,Holman Weighted Seated Killer Abs to Russian Twist,1,Strength,Abdominals,Dumbbell,Intermediate,1.0,1,Strength Abdominals Intermediate,5.0599744180876005
male,18,98.9,194.5,67,9.7,26.14309976804277,joven,sobrepeso,Holman Straight Plank Dumbbell Reach-Under,1,Strength,Abdominals,Dumbbell,Intermediate,1.0,1,Strength Abdominals Intermediate,6.723527651431469
male,38,64.6,159.8,68,7.8,25.297579421084862,adulto,sobrepeso,Holman Straight-Arm Side Plank Overhead Press to Chest Press,1,Strength,Abdominals,Dumbbell,Intermediate,1.0,1,Strength Abdominals Intermediate,5.406548008367573
female,41,67.9,167.1,69,8.4,24.317385211376813,adulto,normal,Holman Weighted Burpee to Pike,1,Strength,Abdominals,Dumbbell,Intermediate,1.0,1,Strength Abdominals Intermediate,5.8224363167035404
female,41,61.9,171.7,70,7.7,20.996652407712254,adulto,normal,Holman Straight-Legged Boat Chest Press,1,Strength,Abdominals,Dumbbell,Intermediate,1.0,1,Strength Abdominals Intermediate,5.337233290311579
male,43,101.4,180.0,71,10.0,31.296296296296298,adulto,obesidad,Holman Weighted Burpee to Side Delt Raise,1,Strength,Abdominals,Dumbbell,Intermediate,1.0,1,Strength Abdominals Intermediate,6.931471805599453
male,16,88.2,180.0,72,8.1,27.22222222222222,adolescente,sobrepeso,Holman Heavy Double Pike,1,Strength,Abdominals,Dumbbell,Intermediate,1.0,1,Strength Abdominals Intermediate,5.614492162535557
female,36,71.1,172.2,73,5.3,23.977467251028905,adulto,normal,Holman Heavy Double Split Pike,1,Strength,Abdominals,Dumbbell,Intermediate,1.0,1,Strength Abdominals Intermediate,3.6736800569677097
female,45,82.8,172.1,74,7.3,27.95558573198224,adulto,sobrepeso,MetaBurn Alternating Dumbbell Sit-Through,1,Strength,Abdominals,Dumbbell,Intermediate,1.0,1,Strength Abdominals Intermediate,5.0599744180876005
female,45,72.9,164.1,75,6.6,27.071378200522048,adulto,sobrepeso,MetaBurn Alternating Plank Row With Dumbbell Pull-Through,1,Strength,Abdominals,Dumbbell,Intermediate,1.0,1,Strength Abdominals Intermediate,4.574771391695639
female,31,77.4,165.3,76,8.1,28.32665241550588,adulto,sobrepeso,MetaBurn Alternating Plank Row With Push-Up,1,Strength,Abdominals,Dumbbell,Intermediate,1.0,1,Strength Abdominals Intermediate,5.614492162535557
female,27,55.2,157.9,77,9.0,22.13985731824561,joven,normal,MetaBurn Dumbbell Russian Twist,1,Strength,Abdominals,Dumbbell,Intermediate,1.0,1,Strength Abdominals Intermediate,6.238324625039508
female,31,69.6,161.2,78,9.4,26.78422993799605,adulto,sobrepeso,MetaBurn Dumbbell Toe-Touch,1,Strength,Abdominals,Dumbbell,Intermediate,1.0,1,Strength Abdominals Intermediate,6.515583497263486
female,33,75.1,168.6,79,7.9,26.419512304949418,adulto,sobrepeso,MetaBurn Plank To Alternating Row,1,Strength,Abdominals,Dumbbell,Intermediate,1.0,1,Strength Abdominals Intermediate,5.475862726423568
female,28,77.2,170.2,80,8.9,26.650059859072275,joven,sobrepeso,Standing dumbbell knee crunch-,"The standing dumbbell knee crunch is a great way to train the abs while standing up. Additionally, the deltoids are worked because the lifter holds a pair of dumbbells overhead throughout.",Strength,Abdominals,Dumbbell,Intermediate,1.0,1,Strength Abdominals Intermediate,6.169009906983513
female,51,63.2,151.3,81,7.1,27.60827182265704,mayor,sobrepeso,MetaBurn Plank With Dumbbell Rotation,1,Strength,Abdominals,Dumbbell,Intermediate,1.0,1,Strength Abdominals Intermediate,4.921344981975611
male,42,91.6,173.7,82,9.8,30.35958542594068,adulto,obesidad,FYR2 Dumbbell Crab Reach,1,Strength,Abdominals,Dumbbell,Intermediate,1.0,1,Strength Abdominals Intermediate,6.792842369487464
female,39,72.4,170.7,83,7.8,24.846860630046383,adulto,normal,FYR2 Dumbbell Man-Maker,1,Strength,Abdominals,Dumbbell,Intermediate,1.0,1,Strength Abdominals Intermediate,5.406548008367573
female,19,69.6,162.7,84,7.5,26.292636286331348,joven,sobrepeso,FYR2 Dumbbell Sit-Up Reach,1,Strength,Abdominals,Dumbbell,Intermediate,1.0,1,Strength Abdominals Intermediate,5.19860385419959
female,44,62.1,162.2,85,9.5,23.60423340595785,adulto,normal,FYR2 Loaded Beast Sprawl,1,Strength,Abdominals,Dumbbell,Intermediate,1.0,1,Strength Abdominals Intermediate,6.58489821531948
male,32,89.8,166.8,86,9.1,32.27633720361839,adulto,obesidad,FYR2 Loaded to Unloaded Beast,1,Strength,Abdominals,Dumbbell,Intermediate,1.0,1,Strength Abdominals Intermediate,6.307639343095502
female,43,78.9,163.0,87,8.8,29.696262561631983,adulto,sobrepeso,Lying Leg Pullover,1,Strength,Abdominals,Dumbbell,Intermediate,1.0,1,Strength Abdominals Intermediate,6.099695188927519
female,34,67.9,169.5,88,7.4,23.63362657825811,adulto,normal,Landmine twist,"The landmine twist is a rotational abdominal movement performed using an angled barbell anchored at floor level in a landmine device. It can also be performed by sticking a barbell in the corner of a room, preferably in a towel to protect the walls. It targets the deep muscles of the core, including both the obliques and the transversus abdominis. It can be done fast or slow, for time or reps, either in traditional muscle-focused rep ranges such as 8-12 reps per side or for higher rep ranges.",Strength,Abdominals,Other,Intermediate,9.5,Average,Strength Abdominals Intermediate,5.129289136143595
male,28,103.2,188.4,89,9.3,29.07487795312859,joven,sobrepeso,Suspended ab fall-out,"The suspended ab fall-out is a dynamic abdominal exercise utilizing a suspension strap system or gymnastic rings. It is similar in form to an ab roller, but can more easily be scaled to be more or less difficult. It targets the muscles of the rectus abdominis or ""six-pack"" muscles, as well as the deep core muscles. It can be trained for low reps for strength or higher reps for muscle definition.",Strength,Abdominals,Other,Intermediate,9.3,Average,Strength Abdominals Intermediate,6.446268779207491
male,37,79.5,180.0,90,6.2,24.537037037037035,adulto,normal,Decline reverse crunch,"The decline reverse crunch is a popular bodyweight exercise targeting the abdominal muscles, particularly the lower abs. It is usually performed for high reps, such as 10-15 reps per set or more, as part of the ab-focused portion of a workout.",Strength,Abdominals,Other,Intermediate,9.2,Average,Strength Abdominals Intermediate,4.297512519471661
male,16,105.1,178.0,91,6.8,33.17131675293523,adolescente,obesidad,Plate Twist,1,Strength,Abdominals,Other,Beginner,9.0,Average,Strength Abdominals Beginner,4.713400827807628
female,16,55.9,158.1,92,6.7,22.363927105599743,adolescente,normal,Weighted Crunches,"The weighted suitcase crunch is a weighted version of a popular abdominal training exercise. The simple addition of a weight makes the suitcase crunch far more difficult, helping build the ""six pack"" muscles and providing a different stimulus to the core during training.",Strength,Abdominals,Other,Intermediate,8.9,Average,Strength Abdominals Intermediate,4.644086109751633
female,32,74.5,168.5,93,8.0,26.239554808090233,adulto,sobrepeso,Ab Roller,"The ab wheel roll-out is an exercise targeting the abdominals, often with an inexpensive wheel device with a handle on either side. Many trainers and strength coaches claim it's one of, if no the best exercise for developing strength in the midsection. Beginners may have to start with a limited range of motion or just wheel planks.",Strength,Abdominals,Other,Intermediate,8.9,Average,Strength Abdominals Intermediate,5.545177444479562
